instance 	 n 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
6 	 15 	 7 	 2 	 9464.00 	 9464.00 	 0.00 	 0.80 
7 	 15 	 3 	 2 	 5340.00 	 5340.00 	 0.00 	 0.70 
7 	 15 	 5 	 2 	 6608.00 	 6608.00 	 0.00 	 0.68 
7 	 15 	 7 	 2 	 7679.00 	 7679.00 	 0.00 	 0.41 
8 	 15 	 3 	 2 	 6195.00 	 6195.00 	 0.00 	 0.19 
8 	 15 	 5 	 2 	 7104.00 	 7104.00 	 0.00 	 0.38 
8 	 15 	 7 	 2 	 7798.00 	 7798.00 	 0.00 	 0.31 
9 	 15 	 3 	 2 	 6944.00 	 6944.00 	 0.00 	 0.26 
9 	 15 	 5 	 2 	 8204.00 	 8204.00 	 0.00 	 1.11 
9 	 15 	 7 	 2 	 9218.00 	 9218.00 	 0.00 	 0.98 
10 	 15 	 3 	 2 	 8468.00 	 8468.00 	 0.00 	 0.03 
10 	 15 	 5 	 2 	 9101.00 	 9101.00 	 0.00 	 0.25 
10 	 15 	 7 	 2 	 9560.53 	 9561.00 	 0.00 	 0.04 
11 	 15 	 3 	 2 	 7696.27 	 7697.00 	 0.00 	 0.23 
11 	 15 	 5 	 2 	 8780.00 	 8780.00 	 0.00 	 0.55 
11 	 15 	 7 	 2 	 9703.00 	 9703.00 	 0.00 	 0.63 
12 	 15 	 3 	 2 	 7254.67 	 7255.00 	 0.00 	 0.27 
12 	 15 	 5 	 2 	 8027.00 	 8027.00 	 0.00 	 0.19 
12 	 15 	 7 	 2 	 8707.00 	 8707.00 	 0.00 	 0.12 
13 	 15 	 3 	 2 	 4843.00 	 4843.00 	 0.00 	 0.03 
13 	 15 	 5 	 2 	 5874.94 	 5875.00 	 0.00 	 0.33 
13 	 15 	 7 	 2 	 6617.00 	 6617.00 	 0.00 	 0.05 
14 	 15 	 3 	 2 	 6160.00 	 6160.00 	 0.00 	 0.24 
14 	 15 	 5 	 2 	 7355.00 	 7355.00 	 0.00 	 0.36 
14 	 15 	 7 	 2 	 8232.00 	 8232.00 	 0.00 	 0.40 
15 	 15 	 3 	 2 	 6225.00 	 6225.00 	 0.00 	 0.02 
15 	 15 	 5 	 2 	 7133.00 	 7133.00 	 0.00 	 0.03 
15 	 15 	 7 	 2 	 7937.60 	 7938.00 	 0.00 	 0.07 
16 	 15 	 3 	 2 	 6512.00 	 6512.00 	 0.00 	 0.10 
16 	 15 	 5 	 2 	 7248.00 	 7248.00 	 0.00 	 0.29 
16 	 15 	 7 	 2 	 7827.00 	 7827.00 	 0.00 	 0.04 
17 	 15 	 3 	 2 	 6082.55 	 6083.00 	 0.00 	 0.07 
17 	 15 	 5 	 2 	 7041.75 	 7042.00 	 0.00 	 0.11 
17 	 15 	 7 	 2 	 7836.00 	 7836.00 	 0.00 	 0.16 
18 	 15 	 3 	 2 	 8227.25 	 8228.00 	 0.00 	 0.17 
18 	 15 	 5 	 2 	 9146.00 	 9146.00 	 0.00 	 0.30 
18 	 15 	 7 	 2 	 9863.00 	 9863.00 	 0.00 	 0.43 
19 	 15 	 3 	 2 	 8341.00 	 8341.00 	 0.00 	 0.41 
19 	 15 	 5 	 2 	 9285.00 	 9285.00 	 0.00 	 0.59 
19 	 15 	 7 	 2 	 10088.00 	 10088.00 	 0.00 	 0.63 
20 	 15 	 3 	 2 	 6566.00 	 6566.00 	 0.00 	 0.57 
20 	 15 	 5 	 2 	 7560.00 	 7560.00 	 0.00 	 1.10 
20 	 15 	 7 	 2 	 8397.00 	 8397.00 	 0.00 	 0.78 
1 	 20 	 3 	 2 	 11484.00 	 11484.00 	 0.00 	 0.21 
1 	 20 	 5 	 2 	 13214.00 	 13214.00 	 0.00 	 0.94 
1 	 20 	 7 	 2 	 14742.00 	 14742.00 	 0.00 	 1.59 
2 	 20 	 3 	 2 	 13018.00 	 13018.00 	 0.00 	 0.28 
2 	 20 	 5 	 2 	 14709.00 	 14709.00 	 0.00 	 1.00 
2 	 20 	 7 	 2 	 16244.00 	 16244.00 	 0.00 	 3.39 
3 	 20 	 3 	 2 	 15804.00 	 15804.00 	 0.00 	 0.34 
3 	 20 	 5 	 2 	 17639.00 	 17639.00 	 0.00 	 2.66 
3 	 20 	 7 	 2 	 19164.00 	 19164.00 	 0.00 	 21.53 
4 	 20 	 3 	 2 	 12601.18 	 12602.00 	 0.00 	 0.09 
4 	 20 	 5 	 2 	 14525.00 	 14525.00 	 0.00 	 0.36 
4 	 20 	 7 	 2 	 16011.00 	 16011.00 	 0.00 	 1.53 
5 	 20 	 3 	 2 	 8674.00 	 8674.00 	 0.00 	 0.03 
5 	 20 	 5 	 2 	 10271.00 	 10271.00 	 0.00 	 0.58 
5 	 20 	 7 	 2 	 11559.00 	 11559.00 	 0.00 	 2.02 
6 	 20 	 3 	 2 	 10476.00 	 10476.00 	 0.00 	 0.78 
6 	 20 	 5 	 2 	 12022.00 	 12022.00 	 0.00 	 1.24 
6 	 20 	 7 	 2 	 13412.00 	 13412.00 	 0.00 	 2.07 
7 	 20 	 3 	 2 	 10989.00 	 10989.00 	 0.00 	 0.59 
7 	 20 	 5 	 2 	 12611.00 	 12611.00 	 0.00 	 1.00 
7 	 20 	 7 	 2 	 13858.00 	 13858.00 	 0.00 	 1.94 
8 	 20 	 3 	 2 	 12433.00 	 12433.00 	 0.00 	 0.03 
8 	 20 	 5 	 2 	 13760.00 	 13760.00 	 0.00 	 0.27 
8 	 20 	 7 	 2 	 14820.67 	 14821.00 	 0.00 	 0.84 
9 	 20 	 3 	 2 	 12913.00 	 12913.00 	 0.00 	 0.20 
9 	 20 	 5 	 2 	 14351.00 	 14351.00 	 0.00 	 0.82 
9 	 20 	 7 	 2 	 15507.00 	 15507.00 	 0.00 	 1.64 
10 	 20 	 3 	 2 	 7155.00 	 7155.00 	 0.00 	 0.30 
10 	 20 	 5 	 2 	 8520.00 	 8520.00 	 0.00 	 0.53 
10 	 20 	 7 	 2 	 9717.00 	 9717.00 	 0.00 	 0.89 
11 	 20 	 3 	 2 	 9764.00 	 9764.00 	 0.00 	 0.41 
11 	 20 	 5 	 2 	 11164.00 	 11164.00 	 0.00 	 0.51 
11 	 20 	 7 	 2 	 12382.00 	 12382.00 	 0.00 	 0.87 
12 	 20 	 3 	 2 	 11006.00 	 11006.00 	 0.00 	 0.23 
12 	 20 	 5 	 2 	 12269.00 	 12269.00 	 0.00 	 0.48 
12 	 20 	 7 	 2 	 13277.22 	 13278.00 	 0.00 	 0.26 
13 	 20 	 3 	 2 	 9675.85 	 9676.00 	 0.00 	 0.22 
13 	 20 	 5 	 2 	 10927.00 	 10927.00 	 0.00 	 0.50 
13 	 20 	 7 	 2 	 12105.00 	 12105.00 	 0.00 	 0.36 
14 	 20 	 3 	 2 	 14386.00 	 14386.00 	 0.00 	 0.45 
14 	 20 	 5 	 2 	 15888.00 	 15888.00 	 0.00 	 2.65 
14 	 20 	 7 	 2 	 17149.00 	 17149.00 	 0.00 	 2.29 
15 	 20 	 3 	 2 	 10996.00 	 10996.00 	 0.00 	 0.72 
15 	 20 	 5 	 2 	 12286.00 	 12286.00 	 0.00 	 1.45 
15 	 20 	 7 	 2 	 13469.00 	 13469.00 	 0.00 	 2.16 
16 	 20 	 3 	 2 	 13232.00 	 13232.00 	 0.00 	 0.39 
16 	 20 	 5 	 2 	 15287.00 	 15287.00 	 0.00 	 3.57 
16 	 20 	 7 	 2 	 17005.00 	 17005.00 	 0.00 	 41.65 
17 	 20 	 3 	 2 	 13416.00 	 13416.00 	 0.00 	 0.27 
17 	 20 	 5 	 2 	 15324.00 	 15324.00 	 0.00 	 2.02 
17 	 20 	 7 	 2 	 16914.00 	 16914.00 	 0.00 	 4.42 
18 	 20 	 3 	 2 	 10115.00 	 10115.00 	 0.00 	 0.31 
18 	 20 	 5 	 2 	 11510.00 	 11510.00 	 0.00 	 0.81 
18 	 20 	 7 	 2 	 12769.00 	 12769.00 	 0.00 	 0.80 
19 	 20 	 3 	 2 	 13120.00 	 13120.00 	 0.00 	 0.38 
19 	 20 	 5 	 2 	 14460.00 	 14460.00 	 0.00 	 0.72 
19 	 20 	 7 	 2 	 15709.00 	 15709.00 	 0.00 	 0.48 
20 	 20 	 3 	 2 	 16236.00 	 16236.00 	 0.00 	 0.38 
20 	 20 	 5 	 2 	 17649.00 	 17649.00 	 0.00 	 1.13 
20 	 20 	 7 	 2 	 18898.00 	 18898.00 	 0.00 	 3.30 
